value,type,time,unit_id,device,season,error
14,pm25,4/20/2017 4:15,SASA_MO1,12396,Pilot,0
14,pm25,4/20/2017 4:30,SASA_MO1,12396,Pilot,0
12,pm25,4/20/2017 4:45,SASA_MO1,12396,Pilot,0
9,pm25,4/20/2017 5:00,SASA_MO1,12396,Pilot,0
13,pm25,4/20/2017 5:15,SASA_MO1,12396,Pilot,0
4,pm25,4/20/2017 5:30,SASA_MO1,12396,Pilot,0
3,pm25,4/20/2017 5:45,SASA_MO1,12396,Pilot,0
4,pm25,4/20/2017 6:00,SASA_MO1,12396,Pilot,0
5,pm25,4/20/2017 6:15,SASA_MO1,12396,Pilot,0
5,pm25,4/20/2017 6:30,SASA_MO1,12396,Pilot,0
5,pm25,4/20/2017 6:45,SASA_MO1,12396,Pilot,0
6,pm25,4/20/2017 7:00,SASA_MO1,12396,Pilot,0
